id,age,gender,height,weight,gym_frequency,workout_intensity,protein_intake,sleep_hours,training_experience,initial_muscle_mass,final_muscle_mass,body_fat_percentage,supplement_use,workout_type,diet_type,hydration_level,stress_level,session_duration,recovery_rate
1,56.0,M,181.2,96.0,2.0,6.0,201.0,9.0,Intermediate,45.2,47.4,22.2,Protein,Cardio,Omnivore,2.9,2.0,86.0,slow
2,,F,179.0,79.6,7.0,5.0,155.0,8.0,Experienced,25.2,26.4,18.4,Protein,Mixed,Omnivore,4.0,5.0,,fast
3,32.0,F,,67.4,2.0,,,8.0,,27.8,29.7,17.3,Pre-workout,Mixed,Omnivore,,5.0,78.0,medium
4,60.0,M,184.4,,2.0,6.0,195.0,7.0,Experienced,37.4,38.3,,None,Cardio,Omnivore,2.0,3.0,59.0,medium
5,25.0,,151.2,50.3,5.0,2.0,107.0,7.0,Beginner,19.2,23.1,22.6,None,Mixed,Vegetarian,3.2,9.0,73.0,fast
6,38.0,F,,76.2,2.0,8.0,163.0,6.0,Intermediate,26.4,28.7,24.4,Creatine,Mixed,Omnivore,3.0,2.0,39.0,fast
7,56.0,F,152.7,,3.0,7.0,95.0,6.0,Intermediate,16.8,18.8,,Creatine,Mixed,Vegetarian,3.5,9.0,45.0,medium
8,36.0,,171.3,79.2,,,159.0,9.0,Experienced,,33.4,23.8,None,Cardio,Omnivore,2.5,3.0,60.0,medium
9,40.0,F,161.7,52.1,2.0,6.0,103.0,7.0,Intermediate,21.6,,20.2,,Cardio,,2.6,8.0,69.0,medium
10,28.0,M,193.5,92.1,,10.0,194.0,9.0,,35.9,40.4,14.9,Protein,Cardio,Vegetarian,1.7,3.0,87.0,medium
11,28.0,M,197.7,97.7,1.0,3.0,195.0,9.0,Intermediate,43.1,,15.9,,Cardio,Keto,3.6,7.0,48.0,medium
12,41.0,M,176.7,108.8,,,235.0,6.0,Beginner,48.1,52.5,19.9,None,Cardio,Vegan,2.3,4.0,87.0,
13,53.0,F,163.8,67.3,2.0,4.0,127.0,,Experienced,29.4,30.1,27.2,None,Cardio,Vegan,3.2,8.0,47.0,slow
14,57.0,M,183.6,106.7,3.0,7.0,225.0,,Intermediate,41.1,42.6,13.1,Creatine,Strength,Omnivore,1.7,8.0,41.0,fast
15,41.0,,,59.9,1.0,9.0,114.0,7.0,Beginner,20.1,23.8,28.5,Pre-workout,Strength,,3.7,2.0,72.0,fast
16,20.0,M,197.1,135.0,1.0,7.0,268.0,8.0,Intermediate,49.9,52.2,19.3,None,Mixed,Vegan,1.8,9.0,54.0,slow
17,39.0,M,177.3,71.2,3.0,3.0,131.0,6.0,Experienced,27.4,28.9,15.1,None,Cardio,Vegetarian,3.1,4.0,61.0,slow
18,19.0,M,,80.8,5.0,,161.0,7.0,Beginner,27.4,31.5,15.2,Protein,Strength,Omnivore,3.1,4.0,70.0,medium
19,41.0,M,,116.0,,4.0,,7.0,Beginner,,41.4,23.8,None,Mixed,Omnivore,3.7,4.0,46.0,slow
20,61.0,F,156.6,62.6,,2.0,117.0,8.0,Beginner,,31.9,,None,Cardio,Omnivore,2.1,7.0,38.0,slow
21,47.0,M,165.7,91.9,1.0,2.0,177.0,9.0,Intermediate,32.9,35.3,12.4,None,Cardio,Vegetarian,2.9,2.0,63.0,medium
22,55.0,M,182.5,96.6,3.0,10.0,182.0,9.0,Beginner,47.1,51.2,,Protein,Mixed,Omnivore,3.2,4.0,58.0,medium
23,19.0,F,170.1,80.8,1.0,5.0,159.0,7.0,Intermediate,32.8,34.9,25.6,,,Omnivore,3.5,8.0,84.0,medium
24,38.0,F,167.1,56.2,4.0,2.0,115.0,,Beginner,,23.2,29.5,None,Cardio,Omnivore,3.7,,89.0,fast
25,50.0,M,,83.1,7.0,1.0,154.0,7.0,Intermediate,,32.1,10.9,None,,Omnivore,3.5,1.0,86.0,medium
26,29.0,M,164.6,72.2,1.0,,141.0,7.0,Intermediate,,28.4,23.1,None,Mixed,Vegetarian,2.4,7.0,,fast
27,39.0,F,164.3,76.2,,3.0,154.0,7.0,Beginner,,31.5,23.1,None,Strength,Vegan,,7.0,36.0,fast
28,61.0,F,160.7,,7.0,,127.0,6.0,Intermediate,18.4,20.7,16.6,None,Mixed,Vegetarian,3.7,7.0,32.0,fast
29,42.0,,198.9,116.4,4.0,2.0,,7.0,Beginner,37.5,41.2,19.3,Creatine,Cardio,Vegan,,,44.0,fast
30,,F,151.5,52.2,6.0,7.0,111.0,7.0,Beginner,,,18.4,None,Mixed,Omnivore,1.7,,80.0,fast
31,59.0,F,158.9,69.9,5.0,3.0,128.0,6.0,Beginner,21.7,25.4,,Protein,Cardio,Omnivore,3.1,9.0,48.0,fast
32,45.0,M,197.7,89.9,3.0,,169.0,7.0,Experienced,34.6,,10.6,None,Strength,Omnivore,2.2,,80.0,medium
33,33.0,M,199.3,114.8,5.0,3.0,249.0,8.0,Experienced,35.6,36.9,16.9,Creatine,Mixed,Omnivore,,1.0,90.0,medium
34,32.0,M,193.0,106.8,,6.0,221.0,6.0,Beginner,40.8,44.8,20.7,Protein,Strength,Keto,1.8,1.0,84.0,medium
35,64.0,F,152.3,,1.0,2.0,,8.0,,22.7,24.4,23.8,Creatine,Mixed,,1.6,8.0,52.0,medium
36,61.0,M,182.5,101.8,5.0,3.0,198.0,9.0,,38.7,42.4,16.1,Protein,Strength,Omnivore,1.7,1.0,78.0,medium
37,20.0,M,176.0,63.3,4.0,8.0,133.0,,Beginner,22.0,25.9,20.2,Protein,Cardio,,3.1,8.0,83.0,medium
38,,M,192.3,120.6,5.0,8.0,260.0,9.0,Beginner,44.5,48.3,16.3,None,Strength,Vegetarian,2.9,4.0,69.0,fast
39,24.0,F,151.7,51.0,7.0,10.0,103.0,7.0,Beginner,19.5,23.2,18.5,Protein,Mixed,Vegan,3.1,10.0,74.0,slow
40,38.0,M,167.9,89.9,6.0,3.0,167.0,8.0,Intermediate,27.9,,20.6,None,Cardio,Omnivore,2.5,4.0,75.0,slow
41,26.0,M,179.6,79.3,4.0,6.0,170.0,6.0,Intermediate,31.0,32.9,23.9,None,,Vegan,3.9,7.0,87.0,slow
42,56.0,F,154.7,48.5,1.0,8.0,95.0,7.0,Beginner,18.7,22.5,,None,Mixed,Vegan,2.6,9.0,66.0,medium
43,35.0,F,170.8,66.1,5.0,6.0,143.0,,Intermediate,27.9,30.3,19.7,Protein,Cardio,Omnivore,,5.0,30.0,medium
44,21.0,M,192.8,118.8,7.0,2.0,250.0,9.0,Intermediate,,,,None,,,2.2,7.0,76.0,slow
45,42.0,M,188.2,108.2,,7.0,209.0,7.0,Beginner,40.6,,19.3,None,Strength,Omnivore,2.2,7.0,85.0,medium
46,,M,,82.1,5.0,6.0,,6.0,Experienced,38.1,39.0,16.1,Protein,Cardio,Omnivore,2.5,10.0,,
47,26.0,F,,91.0,4.0,6.0,182.0,6.0,Intermediate,28.7,,22.2,None,Strength,Vegetarian,3.0,2.0,67.0,
48,43.0,M,165.5,71.6,2.0,9.0,131.0,6.0,Beginner,,,21.5,Pre-workout,Strength,Omnivore,,,84.0,fast
49,19.0,M,170.4,73.3,1.0,3.0,156.0,7.0,Experienced,,31.2,14.1,None,Strength,Keto,3.9,3.0,80.0,medium
50,37.0,F,164.7,53.5,7.0,1.0,98.0,6.0,Intermediate,23.3,24.9,15.3,None,Cardio,,,7.0,,
51,45.0,F,151.8,43.4,5.0,4.0,94.0,6.0,Beginner,15.8,19.4,19.4,None,Cardio,Vegan,2.6,5.0,56.0,slow
52,64.0,M,163.8,67.7,4.0,,135.0,7.0,Experienced,31.9,33.2,,,Cardio,Omnivore,2.7,8.0,65.0,fast
53,24.0,F,,50.1,3.0,5.0,100.0,7.0,Intermediate,17.0,18.7,22.7,,Strength,Omnivore,2.0,2.0,70.0,medium
54,,M,197.8,,1.0,6.0,225.0,7.0,,40.3,44.0,,,Cardio,,2.5,1.0,43.0,fast
55,25.0,M,196.3,126.8,6.0,8.0,256.0,6.0,Beginner,49.4,53.8,18.9,Creatine,Cardio,Vegan,1.8,6.0,56.0,medium
56,64.0,F,164.0,63.8,1.0,3.0,126.0,6.0,Beginner,24.7,28.9,15.2,Protein,Mixed,Vegan,3.7,10.0,56.0,medium
57,52.0,F,154.3,56.6,3.0,3.0,106.0,6.0,Beginner,23.8,28.2,,Protein,Mixed,,,8.0,44.0,slow
58,31.0,F,155.3,50.7,3.0,3.0,106.0,7.0,,22.3,25.9,,None,Mixed,,2.1,3.0,,slow
59,34.0,F,161.3,52.0,7.0,,104.0,6.0,Intermediate,18.9,20.8,29.1,None,Strength,Omnivore,1.7,10.0,85.0,medium
60,,M,168.4,66.2,4.0,3.0,133.0,6.0,Intermediate,25.8,28.0,16.4,Protein,Strength,Omnivore,1.7,1.0,68.0,medium
61,57.0,F,152.5,57.7,5.0,9.0,110.0,8.0,,18.2,22.5,27.0,,Mixed,Omnivore,3.1,7.0,88.0,
62,21.0,F,170.2,72.7,,8.0,135.0,8.0,,29.5,31.5,,None,Strength,Omnivore,1.8,8.0,65.0,medium
63,19.0,M,,78.3,,9.0,151.0,6.0,Intermediate,30.0,32.5,24.4,Protein,Cardio,Keto,2.9,6.0,51.0,slow
64,23.0,M,171.7,76.6,7.0,6.0,163.0,6.0,Intermediate,33.1,35.1,,Creatine,,Omnivore,2.0,4.0,39.0,fast
65,59.0,M,191.2,,2.0,6.0,214.0,6.0,Intermediate,43.9,45.5,23.2,None,Cardio,Vegan,2.1,9.0,83.0,slow
