Age (years),Sex,Height (cm),Initial LBM (kg),Training Experience (years),Training Frequency (sessions per week),Average Reps per Set,Average Load per Exercise (kg),Average Daily Calories (kcal),Average Daily Protein Intake (grams),Average Sleep Duration per Night (hours),Sleep Quality (1–10 scale),Stress Level (1–10 scale),Creatine Supplement Use,Training Duration (Weeks),LBM after the training period (kg)
22,Male,181.0,61.8,0.4,1,9,90.0,2331.0,117.0,7.6,7.4,1.8,No,39,64.5
36,Female,170.1,49.4,1.9,3,9,39.3,1921.0,143.0,7.4,5.1,6.9,No,8,50.3
43,Female,157.7,42.2,1.9,3,8,44.6,2387.0,91.0,7.1,6.1,1.6,Yes,41,46.2
18,Female,156.1,41.8,2.0,4,8,57.4,2108.0,119.0,7.7,4.9,2.9,No,33,46.3
47,Male,172.3,61.7,0.7,7,6,89.8,2880.0,198.0,6.2,4.2,7.0,No,5,63.3
29,Male,169.2,50.6,0.0,1,7,27.8,2566.0,105.0,7.1,5.5,3.2,Yes,46,51.8
20,Male,175.2,62.5,2.8,3,13,55.8,2067.0,157.0,5.8,2.5,10.0,Yes,10,63.2
38,Female,170.5,47.1,0.0,5,15,76.4,2650.0,107.0,7.1,4.6,3.7,Yes,16,48.5
26,Female,152.9,39.6,0.7,3,6,39.4,1922.0,139.0,6.7,5.8,1.1,No,6,40.1
29,Female,159.0,42.2,0.8,2,11,77.9,1924.0,89.0,8.0,7.3,1.9,No,52,46.8
26,Male,179.9,57.7,0.5,4,15,94.0,2612.0,105.0,8.0,5.3,5.0,Yes,9,57.8
22,Female,157.9,40.9,0.9,4,13,44.1,2396.0,147.0,7.4,7.5,1.5,No,46,43.8
37,Female,161.2,44.5,2.9,1,15,45.1,2122.0,107.0,7.4,6.6,3.8,No,31,45.9
27,Male,180.1,65.3,3.0,7,7,80.9,2936.0,148.0,5.8,4.4,6.2,No,21,66.9
18,Male,175.7,61.5,0.3,4,14,50.6,2501.0,154.0,8.8,8.1,1.0,No,9,62.5
36,Male,176.2,60.2,3.2,4,11,60.6,2832.0,185.0,9.1,10.0,4.6,Yes,37,64.5
18,Male,180.5,61.0,0.3,5,5,41.4,2464.0,179.0,7.5,7.5,5.9,No,31,61.6
18,Male,194.1,76.7,3.2,4,12,49.4,2981.0,186.0,9.0,9.0,2.3,No,34,78.3
42,Male,170.1,58.7,0.8,7,8,102.9,3113.0,189.0,7.7,7.4,1.0,Yes,46,64.4
18,Male,177.3,62.8,0.1,2,8,62.8,2556.0,151.0,7.4,6.5,1.0,Yes,12,64.0
18,Female,169.6,51.6,5.6,1,9,40.5,1647.0,84.0,9.2,8.6,1.0,No,23,52.5
36,Male,176.9,60.4,2.2,3,4,63.9,2489.0,134.0,8.8,6.8,3.6,No,38,62.9
27,Male,172.3,55.1,1.2,4,15,80.6,2818.0,111.0,8.0,6.1,2.3,No,37,58.6
28,Male,176.2,61.7,0.3,7,14,78.9,2903.0,189.0,8.4,9.5,2.8,No,32,62.8
