id,age,gender,height,weight,gym_frequency,workout_intensity,protein_intake,sleep_hours,training_experience,initial_muscle_mass,final_muscle_mass,body_fat_percentage,supplement_use,workout_type,diet_type,hydration_level,stress_level,session_duration,recovery_rate
1,56.0,M,181.2,96.0,2.0,6.0,201.0,9.0,Intermediate,45.2,47.4,22.2,Protein,Cardio,Omnivore,2.9,2.0,86.0,slow
2,46.0,F,179.0,79.6,7.0,5.0,155.0,8.0,Experienced,25.2,26.4,18.4,Protein,Mixed,Omnivore,4.0,5.0,43.0,fast
3,32.0,F,177.1,67.4,2.0,1.0,148.0,8.0,Intermediate,27.8,29.7,17.3,Pre-workout,Mixed,Omnivore,2.8,5.0,78.0,medium
4,60.0,M,184.4,91.8,2.0,6.0,195.0,7.0,Experienced,37.4,38.3,21.6,NoUse,Cardio,Omnivore,2.0,3.0,59.0,medium
5,25.0,F,151.2,50.3,5.0,2.0,107.0,7.0,Beginner,19.2,23.1,22.6,NoUse,Mixed,Vegetarian,3.2,9.0,73.0,fast
6,38.0,F,168.4,76.2,2.0,8.0,163.0,6.0,Intermediate,26.4,28.7,24.4,Creatine,Mixed,Omnivore,3.0,2.0,39.0,fast
7,,,,,,,,,,,,,Creatine,,,,,,
8,36.0,F,171.3,79.2,4.0,3.0,159.0,9.0,Experienced,32.3,33.4,23.8,NoUse,Cardio,Omnivore,2.5,3.0,60.0,medium
9,40.0,F,161.7,52.1,2.0,6.0,103.0,7.0,Intermediate,21.6,23.9,20.2,NoUse,Cardio,Omnivore,2.6,8.0,69.0,medium
10,28.0,M,193.5,92.1,4.0,10.0,194.0,9.0,Beginner,35.9,40.4,14.9,Protein,Cardio,Vegetarian,1.7,3.0,87.0,medium
11,28.0,M,197.7,97.7,1.0,3.0,195.0,9.0,Intermediate,43.1,45.0,15.9,NoUse,Cardio,Keto,3.6,7.0,48.0,medium
12,41.0,M,176.7,108.8,1.0,1.0,235.0,6.0,Beginner,48.1,52.5,19.9,NoUse,Cardio,Vegan,2.3,4.0,87.0,medium
13,53.0,F,163.8,67.3,2.0,4.0,127.0,7.0,Experienced,29.4,30.1,27.2,NoUse,Cardio,Vegan,3.2,8.0,47.0,slow
14,57.0,M,183.6,106.7,3.0,7.0,225.0,8.0,Intermediate,41.1,42.6,13.1,Creatine,Strength,Omnivore,1.7,8.0,41.0,fast
15,41.0,F,155.9,59.9,1.0,9.0,114.0,7.0,Beginner,20.1,23.8,28.5,Pre-workout,Strength,Omnivore,3.7,2.0,72.0,fast
16,20.0,M,197.1,135.0,1.0,7.0,268.0,8.0,Intermediate,49.9,52.2,19.3,NoUse,Mixed,Vegan,1.8,9.0,54.0,slow
17,39.0,M,177.3,71.2,3.0,3.0,131.0,6.0,Experienced,27.4,28.9,15.1,NoUse,Cardio,Vegetarian,3.1,4.0,61.0,slow
